Title,Director,Actual Rating,Predicted Rating
Jackie Brown,Quentin Tarantino,7.5,6.65815418442096
The Flintstones in Viva Rock Vegas,Brian Levant,3.7,6.755864389132051
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,6.5,6.734310667504604
The End of the Affair,Neil Jordan,7.0,6.672523332172591
Planet of the Apes,Franklin J. Schaffner,8.0,6.733232981423232
The Strangers: Prey at Night,Johannes Roberts,5.2,6.708446201551668
Youth Without Youth,Francis Ford Coppola,6.1,6.734669896198395
Hot Pursuit,Anne Fletcher,5.1,6.766641249945774
Men in Black: International,F. Gary Gray,5.6,6.735029124892186
The Legend of Hercules,Renny Harlin,4.3,6.656358040952006
Get Shorty,Barry Sonnenfeld,6.9,6.763408191701657
Dark Shadows,Tim Burton,6.2,6.628697431530116
Pineapple Express,David Gordon Green,6.9,6.745087528318328
Sen to Chihiro no kamikakushi,Hayao Miyazaki,8.6,6.7228153493033
Pacific Rim,Guillermo del Toro,6.9,6.726048407547417
Taxi,Tim Story,4.5,6.627978974142535
Stalag 17,Billy Wilder,8.0,6.76017513345754
A Cure for Wellness,Gore Verbinski,6.4,6.72748532232258
J. Edgar,Clint Eastwood,6.5,6.751194416112771
I'm Gonna Git You Sucka,Keenen Ivory Wayans,6.6,6.692640139024874
Escape from Alcatraz,Don Siegel,7.6,6.738621411830094
Shutter Island,Martin Scorsese,8.2,6.682581735598733
The Treasure of the Sierra Madre,John Huston,8.2,6.7041354572261795
Prince of Persia: The Sands of Time,Mike Newell,6.6,6.674678704335336
Top Gun,Tony Scott,6.9,6.624745915898418
Dawn of the Dead,Zack Snyder,7.3,6.617202113328812
Sleeping with the Enemy,Joseph Ruben,6.3,6.6955139685752005
Zerkalo,Andrei Tarkovsky,8.0,6.7695150794961005
Kill Bill: Vol. 2,Quentin Tarantino,8.0,6.65815418442096
Wet Hot American Summer,David Wain,6.5,6.7411360126866295
The Train,John Frankenheimer,7.8,6.705931600695133
Star Wars,George Lucas,8.6,6.728922237097743
Sideways,Alexander Payne,7.5,6.771311222965054
Away We Go,Sam Mendes,7.0,6.643425807975539
Brooklyn's Finest,Antoine Fuqua,6.7,6.765922792558193
The Babysitter: Killer Queen,McG,5.8,6.68114482082357
Stir of Echoes,David Koepp,6.9,6.744728299624537
White House Down,Roland Emmerich,6.3,6.6459404088320735
For Colored Girls,Tyler Perry,6.2,6.624027458510836
Death Wish 3,Michael Winner,5.8,6.67683407649808
